Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location,Lat,Long
190210452,4/27/2019,1530,2,Rampart,256,29,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,600    LITTLE                       ST,,,34.0551,-118.2727
190210453,4/27/2019,1440,2,Rampart,271,36,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,OLYMPIC,PARK VIEW,,34.0524,-118.2835
190210454,4/27/2019,1530,2,Rampart,256,45,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,600    LITTLE                       ST,,,34.0551,-118.2727
190409105,4/26/2019,1640,4,Hollenbeck,426,26,F,H,17,Liquor Laws,M,25658(A)BP,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,4900    HUNTINGTON                   DR,,,34.0867,-118.1768
190409217,4/27/2019,1645,4,Hollenbeck,421,68,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,BROADWAY,DALY                         ST,,34.0736,-118.2156
190910041,4/15/2019,1500,9,Van Nuys,943,30,M,H,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,TYRONE                       AV,BURBANK                      BL,,34.1721,-118.4443
190910048,4/27/2019,1140,9,Van Nuys,984,42,M,O,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VENTURA                      BL,CEDROS                       AV,,34.1517,-118.4531
190910049,4/27/2019,1445,9,Van Nuys,941,29,M,O,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,15200    MARTHA                       ST,,,34.1731,-118.464
191008773,4/20/2019,1830,10,West Valley,1049,28,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BURBANK                      BL,WOODLEY                      AV,,34.1717,-118.4757
191909578,4/16/2019,2145,19,Mission,1971,18,M,H,17,Liquor Laws,M,25662BP,MINOR POSSESS ALCOHOL,9000    ORION                        AV,,,34.2338,-118.472
191909579,4/18/2019,2120,19,Mission,1966,35,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,PLUMMER,,34.2427,-118.4502
191909581,4/18/2019,2020,19,Mission,1966,32,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PLUMMER,VAN NUYS,,34.2427,-118.4502
191909582,4/18/2019,2100,19,Mission,1966,32,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PLUMMER,VAN NUYS,,34.2427,-118.4502
191909583,4/18/2019,2051,19,Mission,1966,29,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,PLUMMER,,34.2427,-118.4502
191909588,4/26/2019,1720,19,Mission,1982,48,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PARTHENIA,COLUMBUS,,34.2288,-118.4655
191909589,4/26/2019,1825,19,Mission,1985,49,M,W,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,ROSCOE,,34.2216,-118.4488
191909590,4/25/2019,2145,19,Mission,1984,21,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,KESTER,PARTHENIA,,34.2282,-118.4575
191909591,4/25/2019,2145,19,Mission,1984,21,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,KESTER,PARTHENIA,,34.2282,-118.4575
192109242,4/22/2019,1510,21,Topanga,2155,39,M,W,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,6000    TOPANGA CANYON               BL,,,34.1828,-118.6102
5511360,1/3/2019,116,7,Wilshire,717,39,M,B,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,400 N  LA BREA                      AV,,,34.0783,-118.3441
5523557,1/18/2019,150,7,Wilshire,784,35,M,B,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,WASHINGTON                   BL,REDONDO                      ST,,34.0412,-118.3528
5551051,2/19/2019,1130,1,Central,122,38,F,W,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,100 N  HILL                         ST,,,34.0572,-118.2481
5574862,3/16/2019,1150,13,Newton,1353,19,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,CENTRAL,VERNON,,34.0039,-118.2565
5579475,3/21/2019,2135,17,Devonshire,1755,25,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,DEVONSHIRE,LINDLEY,,34.2573,-118.5273
5583313,3/26/2019,2140,10,West Valley,1024,33,F,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,VANOWEN,GEYSER,,34.1939,-118.5423
5583360,3/26/2019,2345,17,Devonshire,1792,35,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,PARTHENIA,CORBIN,,34.2282,-118.5623
5585437,3/29/2019,50,6,Hollywood,627,35,M,H,16,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,WESTERN,MARATHON,,34.1227,-118.3181
5586037,3/29/2019,1855,5,Harbor,555,39,F,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,900 W  SUMMERLAND                   AV,,,33.7476,-118.2967
5588404,4/1/2019,1705,9,Van Nuys,929,17,M,H,18,Drunkeness,M,647(F)PC,"DISORD CONDUCT:UI/DRUG, ALCOHOL",KITTRIDGE,GREENBUSH,,34.1903,-118.4257
5592832,4/6/2019,35,11,Northeast,1144,61,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,HYPERION,TRACY,,34.1041,-118.2734
5593430,4/6/2019,1650,12,77th Street,1253,58,M,B,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,WESTERN,76TH,,33.9709,-118.309
5594389,4/8/2019,135,17,Devonshire,1723,38,F,H,22,Driving Under Influence,F,23550(A)VC,DUI W/PRIOR SPEC CONVICTIONS,RINALDI,DE SOTO,,34.27,-118.5886
5594093,4/7/2019,2015,1,Central,182,35,F,B,16,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,OLIVE,PICO                         BL,,34.0383,-118.2633
5599838,4/13/2019,1700,9,Van Nuys,971,23,M,W,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,VENTURA                      FY,SEPULVEDA                    BL,,34.1593,-118.4662
5600614,4/14/2019,1740,9,Van Nuys,915,22,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,SHERMAN,TYRONE,,34.2012,-118.4444
5600704,4/14/2019,1843,17,Devonshire,1787,31,F,W,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,NORDHOFF,ZELZAH,,34.2357,-118.5231
5600903,4/14/2019,2235,4,Hollenbeck,443,40,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,1900    MARENGO                      ST,,,34.0609,-118.2052
5604503,4/18/2019,1955,10,West Valley,1003,32,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,YOLANDA,KESWICK,,34.2102,-118.5404
5604600,4/18/2019,2252,12,77th Street,1253,17,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FLORENCE,LA SALLE,,33.9746,-118.3057
5605790,4/19/2019,2345,3,Southwest,337,48,M,H,16,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,2900 S  NORMANDIE                    AV,,,34.0291,-118.3002
5606530,4/20/2019,1930,6,Hollywood,647,17,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,GOWER,HOLLYWOOD                    BL,,34.1017,-118.3224
5607296,4/22/2019,320,10,West Valley,1028,22,F,W,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BALBOA                       BL,VENTURA                      FY,,34.1939,-118.4967
5608518,4/23/2019,1000,11,Northeast,1181,37,M,H,22,Driving Under Influence,M,23153(B)VC,DUI .08 ALCOHOL CAUSING INJURY,SUNSET                       BL,ALVARADO                     ST,,34.0776,-118.2635
5609743,4/24/2019,1540,1,Central,127,52,M,H,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,100 N  LOS ANGELES                  ST,,,34.0515,-118.2424
5610833,4/25/2019,1715,3,Southwest,363,46,M,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CRENSHAW                     BL,39TH                         ST,,34.0146,-118.3354
5610953,4/25/2019,2120,19,Mission,1961,23,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,SEPULVEDA,PLUMMER,,34.2428,-118.4675
5611184,4/25/2019,1950,1,Central,192,47,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SANTA MONICA                 FY,FIGUEROA,,34.0367,-118.2706
5611305,4/25/2019,2320,16,Foothill,1667,25,M,W,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,9900    SUNLAND                      BL,,,34.2498,-118.3468
5611342,4/26/2019,105,16,Foothill,1611,43,F,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,11600    HERRICK                      AV,,,34.281,-118.4252
5611925,4/26/2019,1845,14,Pacific,1453,69,M,W,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,GLENCOE                      AV,WASHINGTON                   BL,,33.9914,-118.4442
5611953,4/26/2019,1945,18,Southeast,1844,33,M,H,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,AVALON                       BL,109TH                        ST,,33.9373,-118.2652
5611987,4/26/2019,2200,9,Van Nuys,984,37,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VENTURA                      BL,CEDROS                       AV,,34.1517,-118.4531
5612028,4/26/2019,2225,11,Northeast,1177,39,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,CYPRESS,,34.0864,-118.219
5612039,4/26/2019,2348,20,Olympic,2024,34,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WESTERN,6TH,,34.0635,-118.3091
5612262,4/26/2019,2335,20,Olympic,2024,42,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN,6TH,,34.0635,-118.3091
5612280,4/27/2019,1,1,Central,162,34,F,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,7TH,,34.0494,-118.2599
5612290,4/27/2019,25,20,Olympic,2024,19,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN,6TH,,34.0635,-118.3091
5612283,4/26/2019,2100,4,Hollenbeck,466,34,F,H,16,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,1ST                          ST,MOTT                         ST,,34.0421,-118.206
5612391,4/27/2019,306,11,Northeast,1124,30,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FLETCHER,LARGA,,34.1179,-118.2451
5612411,4/27/2019,230,6,Hollywood,645,37,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,1700 N  HIGHLAND                     AV,,,34.1006,-118.3417
5612412,4/27/2019,345,7,Wilshire,711,23,F,W,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,KINGS                        RD,ROSEWOOD                     AV,,34.0802,-118.3722
5612487,4/27/2019,830,10,West Valley,1021,64,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CORBIN                       AV,SHERMAN                      WY,,34.201,-118.5623
5612415,4/27/2019,305,21,Topanga,2118,36,F,W,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,8200    WINNETKA                     AV,,,34.2162,-118.5799
5612724,4/27/2019,1815,12,77th Street,1243,59,M,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,HARVARD,64TH,,33.9814,-118.3068
5612746,4/27/2019,1850,13,Newton,1347,39,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VERNON,LONG BEACH,,34.0039,-118.2434
5612766,4/27/2019,1902,20,Olympic,2076,31,M,H,22,Driving Under Influence,M,21200.5VC,DUI ALCOHOL/DRUGS ON BICYCLE,PICO,FEDORA,,34.0472,-118.2979
5612770,4/27/2019,1920,11,Northeast,1127,27,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,5700    FAYETTE                      ST,,,34.1199,-118.1935
5612773,4/27/2019,1910,13,Newton,1393,37,M,H,22,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,64TH                         ST,MAIN,,33.9814,-118.2739
5612795,4/27/2019,2040,21,Topanga,2128,45,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,ROSCOE,DE SOTO,,34.212,-118.5754
5612820,4/27/2019,2100,18,Southeast,1842,29,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,IMPERIAL,BROADWAY,,33.931,-118.2783
5612823,4/27/2019,1945,18,Southeast,1824,18,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,CENTRAL,92ND                         ST,,33.947,-118.2594
5612832,4/27/2019,2036,18,Southeast,1804,21,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,88TH                         ST,CENTRAL,,33.9574,-118.2564
5612872,4/27/2019,2148,13,Newton,1309,40,M,O,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BOYLE,SANTA MONICA                 FY,,34.0241,-118.232
5612875,4/27/2019,2235,21,Topanga,2115,50,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,8200    TOPANGA CANYON               BL,,,34.2176,-118.606
5612876,4/27/2019,2130,20,Olympic,2033,26,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN                      AV,8TH                          ST,,34.0581,-118.3091
5612877,4/27/2019,2154,20,Olympic,2062,21,M,B,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,ARLINGTON,OLYMPIC,,34.0526,-118.3163
5612882,4/27/2019,2110,15,N Hollywood,1523,43,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,6200    ALCOVE                       AV,,,34.1831,-118.4128
5612891,4/27/2019,2211,21,Topanga,2114,25,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,ROSCOE,TOPANGA CANYON,,34.2197,-118.606
5618393,5/3/2019,232,10,West Valley,1047,22,M,H,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,WHITE OAK                    AV,VENTURA                      FY,,34.1713,-118.5185
5612976,4/28/2019,56,9,Van Nuys,974,60,M,O,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VAN NUYS                     BL,VENTURA                      FY,,34.1569,-118.4487
190210698,5/1/2019,1740,2,Rampart,245,32,M,H,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,2200 W  6TH                          ST,,,34.0601,-118.2761
5619444,5/4/2019,50,1,Central,162,20,M,W,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,9TH                          ST,FIGUEROA,,34.0462,-118.2628
190112342,4/28/2019,1808,1,Central,163,49,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,8TH,BROADWAY,,34.0445,-118.2558
5618237,5/2/2019,2050,12,77th Street,1265,20,F,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,MANCHESTER,BUDLONG,,33.96,-118.2959
5617068,5/1/2019,2155,21,Topanga,2136,23,M,H,22,Driving Under Influence,F,23152(A)VC,DUI ALCOHOL/DRUG W/PRIORS,SHERMAN                      WY,DEERING,,34.201,-118.5967
5613866,4/28/2019,2340,19,Mission,1977,32,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WOODMAN,CHASE,,34.228,-118.4344
5618214,5/2/2019,2055,12,77th Street,1265,56,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,MANCHESTER,BUDLONG,,33.96,-118.2959
191411311,4/28/2019,1645,14,Pacific,1431,31,M,W,17,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,OCEAN FRONT                  WK,HORIZON,,33.988,-118.4745
5618300,5/2/2019,2250,12,77th Street,1257,22,M,H,22,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,77,,33.9693,-118.285
5617455,5/2/2019,111,3,Southwest,329,24,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,2ND                          ST,BEAUDRY                      AV,,34.0246,-118.2772
190112485,4/25/2019,2005,1,Central,156,57,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,5TH                          ST,SAN JULIAN,,34.0446,-118.245
5613199,4/28/2019,448,15,N Hollywood,1565,39,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,RIVERSIDE                    AV,COLDWATER CA                 AV,,34.1493,-118.3759
190112665,5/1/2019,1503,1,Central,158,54,M,B,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,6TH,GLADYS,,34.0403,-118.2421
5615096,4/30/2019,13,19,Mission,1924,26,F,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SAN FERNANDO,LAUREL CANYON,,34.2905,-118.4581
5613915,4/28/2019,2213,2,Rampart,219,30,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,HOLLYWOOD                    FY,GLENDALE                     AV,,34.0677,-118.252
190809301,5/3/2019,1610,8,West LA,853,65,M,B,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,SANTA MONICA,SAWTELLE,,34.0462,-118.4496
190112600,5/1/2019,1600,1,Central,166,60,M,B,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,6TH,SAN JULIAN,,34.0428,-118.2461
5619386,5/3/2019,2055,21,Topanga,2134,75,M,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SHERMAN                      WY,SHOUP                        AV,,34.201,-118.6147
5615082,4/30/2019,36,14,Pacific,1406,37,M,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CULVER                       BL,MARINA                       FY,,34.024,-118.409
5613493,4/28/2019,1140,9,Van Nuys,935,22,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,14400    ERWIN                        ST,,,34.1837,-118.4465
5614052,4/29/2019,910,9,Van Nuys,935,47,M,O,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,14400    ERWIN                        ST,,,34.1837,-118.4465
5618907,5/3/2019,1235,13,Newton,1323,24,M,H,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,TRINITY,25TH                         ST,,34.0219,-118.2571
5613560,4/28/2019,1135,4,Hollenbeck,453,31,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,1600    BRIDGE                       ST,,,34.0527,-118.2183
190112595,4/30/2019,1625,1,Central,162,27,M,H,17,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,800 W  7TH                          ST,,,34.0487,-118.2588
5618089,5/2/2019,1720,6,Hollywood,600,54,M,H,22,Driving Under Influence,M,21200.5VC,DUI ALCOHOL/DRUGS ON BICYCLE,PICO,ALVARADO,,34.0461,-118.2801
190112490,4/25/2019,1450,1,Central,158,60,M,H,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,7TH                          ST,GLADYS,,34.0387,-118.2439
5618255,5/2/2019,2213,12,77th Street,1265,60,F,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,MANCHESTER,BUDLONG,,33.96,-118.2959
5615110,4/30/2019,50,3,Southwest,329,49,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FLOWER                       ST,29TH                         ST,,34.0253,-118.2763
5613163,4/28/2019,200,15,N Hollywood,1569,34,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,10200    RIVERSIDE                    DR,,,34.1522,-118.3527
5613205,4/28/2019,425,3,Southwest,309,31,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,W  23RD                         ST,FIGUEROA,,34.0372,-118.276
5614169,4/29/2019,1200,13,Newton,1372,52,M,H,16,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,200 E  58TH                         ST,,,33.9898,-118.272
5619459,5/4/2019,6,1,Central,162,32,F,O,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,9TH                          ST,FIGUEROA,,34.0462,-118.2628
5415166,4/28/2019,140,19,Mission,1981,40,M,H,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,8800    LANGDON                      AV,,,34.2301,-118.4698
191109839,4/29/2019,1730,11,Northeast,1149,53,F,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,FIGUEROA,AVENUE 53,,34.1069,-118.1982
5619031,5/3/2019,1550,6,Hollywood,677,34,M,H,22,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,MELROSE,WILTON,,34.0835,-118.3135
191109800,4/29/2019,,11,Northeast,1172,40,M,H,18,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,1600    MOHAWK                       ST,,,34.0845,-118.2622
190112496,4/27/2019,1045,1,Central,158,53,M,B,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,6TH                          ST,KOHLER,,34.0394,-118.2405
190112666,4/13/2019,2120,1,Central,148,65,M,B,18,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,5TH,CROCKER,,34.043,-118.242
5616005,4/30/2019,2115,16,Foothill,1601,38,M,H,22,Driving Under Influence,F,23550(A)VC,DUI W/PRIOR SPEC CONVICTIONS,GLENOAKS,GRISWOLD,,34.2865,-118.4161
190112535,4/28/2019,1030,1,Central,156,63,M,B,17,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,5TH                          ST,SAN PEDRO,,34.0442,-118.2439
5619563,5/4/2019,256,14,Pacific,1494,31,M,B,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SEPULVEDA                    BL,CENTURY                      AV,,33.9445,-118.3961
5619428,5/3/2019,2245,15,N Hollywood,1523,24,F,W,22,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VICTORY,BELLAIRE,,34.1867,-118.4094
